date,market,1d_ta,7d_ta,30d_ta
2022-08-16,DAI aave_v2,2.2441863945905003,2.112628637002179,1.794329263883615
2022-08-15,DAI aave_v2,2.2576153873845057,2.021902961760576,1.7757489420598598
2022-08-14,DAI aave_v2,2.244599245049647,1.9252475395229036,1.757509171447404
2022-08-13,DAI aave_v2,2.211565573356585,1.8284177968790443,1.7396958181681474
2022-08-12,DAI aave_v2,2.269263610622467,1.7359700498907848,1.7232207792078724
2022-08-11,DAI aave_v2,1.8339859115206023,1.6481700716385679,1.70473288865177
2022-08-10,DAI aave_v2,1.7271843364909472,1.6365582466153112,1.700905068113958
2022-08-09,DAI aave_v2,1.6091066678992794,1.6393831694391556,1.7010558260476434
2022-08-08,DAI aave_v2,1.5810274317207975,1.6589568971208075,1.7046986998504037
2022-08-07,DAI aave_v2,1.5667910465426316,1.6831203198864553,1.7092064234694384
2022-08-06,DAI aave_v2,1.564431344438769,1.7102699588007275,1.7193560106323031
2022-08-05,DAI aave_v2,1.6546637628569476,1.738450104401102,1.734640720748615
2022-08-04,DAI aave_v2,1.7527031363578065,1.7551283406541671,1.7489330451165808
2022-08-03,DAI aave_v2,1.7469587962578579,1.7567908791805984,1.7597979571543965
2022-08-02,DAI aave_v2,1.746122761670843,1.7579179459463956,1.772075457852029
2022-08-01,DAI aave_v2,1.7501713910803318,1.7588368871663966,1.7844310066639861
2022-07-31,DAI aave_v2,1.756838518942537,1.753974006276926,1.798600814936585
2022-07-30,DAI aave_v2,1.7616923636413908,1.7459081371513596,1.8196570096114968
2022-07-29,DAI aave_v2,1.7714114166284023,1.7376610108337192,1.8470940387589831
2022-07-28,DAI aave_v2,1.7643409060428266,1.7270493158951399,1.875611262173002
2022-07-27,DAI aave_v2,1.7548482636184377,1.711873854130005,1.9051497515944718
2022-07-26,DAI aave_v2,1.7525553502108497,1.7001102290979127,1.9433581542965144
2022-07-25,DAI aave_v2,1.7161312248540372,1.69073979509836,1.9827503626331646
2022-07-24,DAI aave_v2,1.7003774350635725,1.684526153532779,2.023362781560511
2022-07-23,DAI aave_v2,1.703962479417908,1.6825831970776748,2.0637110374296133
2022-07-22,DAI aave_v2,1.6971295520583467,1.6835060241623778,2.1040047526875876
2022-07-21,DAI aave_v2,1.6581126736868832,1.6853730376786065,2.144335016268036
2022-07-20,DAI aave_v2,1.6725028883937905,1.6938304278016711,2.186283315081494
2022-07-19,DAI aave_v2,1.6869623122139816,1.6998481428796148,2.228739265074336
2022-07-18,DAI aave_v2,1.6726357338949691,1.7044465690470803,2.2681625630724573
2022-07-17,DAI aave_v2,1.6867767398778448,1.7128853319908723,2.294409783653307
2022-07-16,DAI aave_v2,1.7104222690108293,1.7174019237200497,2.3296098090600608
2022-07-15,DAI aave_v2,1.7101986466719477,1.7182357624744793,2.383484885957784
2022-07-14,DAI aave_v2,1.7173144045483346,1.7412471931539975,2.420269490760467
2022-07-13,DAI aave_v2,1.7146268939393963,1.784912656493968,2.454764211351561
2022-07-12,DAI aave_v2,1.719151295386241,1.8375993136306144,2.4893198397587795
2022-07-11,DAI aave_v2,1.7317070745015137,1.888956342502905,2.5236218730395428
2022-07-10,DAI aave_v2,1.7183928819820853,1.943753020029379,2.5574889933907166
2022-07-09,DAI aave_v2,1.7162591402918366,2.000666783464733,2.6023574281384034
2022-07-08,DAI aave_v2,1.8712786614285748,2.0662391404599414,2.6492890186316975
2022-07-07,DAI aave_v2,2.0229726479281274,2.1401313829972715,2.6860247497705463
2022-07-06,DAI aave_v2,2.083433493895922,2.2203928958741077,2.716779613631518
2022-07-05,DAI aave_v2,2.0786504974922755,2.2980349851816855,2.746269135997058
2022-07-04,DAI aave_v2,2.1152838171868327,2.379727141066635,2.775259677543673
2022-07-03,DAI aave_v2,2.116789226029561,2.4919866449941903,2.8041911209591093
2022-07-02,DAI aave_v2,2.175265639258296,2.6087769841771613,2.8333174189488974
2022-07-01,DAI aave_v2,2.3885243591898866,2.7172395775223235,2.860975991679391
2022-06-30,DAI aave_v2,2.5848032380659807,2.7918539706575727,2.877145361739009
2022-06-29,DAI aave_v2,2.626928119048966,2.8387069276705947,2.8859634882301606
2022-06-28,DAI aave_v2,2.650495588686922,2.8787225477310003,2.8942260880665285
2022-06-27,DAI aave_v2,2.901100344679719,2.916731983360101,2.8941046117536326
